0.100,1,1003,1.5M,10030,119.8M,1492
0.427,1,2246,3.4M,5259,62.8M,1492
0.335,1,1645,2.5M,4910,58.9M,1498
0.367,1,1226,1.8M,3340,40.0M,1495
1.964,1,10555,15.0M,5374,60.9M,1416
1.265,1,5837,8.6M,4614,54.2M,1467
0.896,1,3712,5.6M,4142,49.6M,1497
0.938,1,5416,8.1M,5773,69.2M,1498
0.484,1,2377,3.6M,4911,58.8M,1496
0.293,1,1017,1.5M,3470,41.5M,1495
0.630,1,1628,2.3M,2584,29.3M,1418
0.408,2,1013,1.5M,2482,29.4M,1479
0.898,2,1506,78996,1677,703750,52
0.480,1,1435,2.1M,2989,35.7M,1491
0.281,1,1035,1.5M,3683,41.8M,1417
1.410,4,3302,176712,2341,1.0M,53
9.230,1,18920,28.4M,2049,24.6M,1499
0.768,1,1100,1.5M,1432,16.1M,1405
1.997,2,2826,155458,1415,622766,55
0.958,4,1252,66472,1306,555089,53
0.985,1,1242,1.5M,1260,12.4M,1233
0.448,1,1465,2.1M,3270,36.8M,1408
0.064,2,1184,1.7M,18500,218.2M,1474
0.220,1,2194,3.1M,9972,114.5M,1434
2.793,1,6801,10.2M,2435,29.1M,1496
2.972,3,18566,27.8M,6246,74.9M,1498
0.681,1,2703,4.0M,3969,47.5M,1496
0.938,1,3719,5.3M,3964,45.6M,1438
0.513,1,1918,2.8M,3738,43.9M,1466
0.553,1,1412,2.1M,2553,30.6M,1496
1.020,1,4362,6.2M,4276,48.5M,1417
0.574,1,2051,2.9M,3573,40.4M,1413
5.771,1,19433,29.1M,3367,40.4M,1498
1.216,1,3802,5.4M,3126,35.5M,1417
1.281,4,3266,171200,2549,1.1M,52
2.176,1,3792,207202,1742,761772,54
1.875,1,2900,4.3M,1546,18.5M,1491
1.966,1,2931,4.4M,1490,17.8M,1493
2.688,1,3945,5.6M,1467,16.6M,1415
1.384,1,1931,2.9M,1395,16.6M,1484
4.209,1,4821,7.2M,1145,13.7M,1494
1.216,1,5751,8.6M,4729,56.6M,1494
0.384,1,1231,1.6M,3205,33.8M,1318
0.384,1,1231,1.6M,3205,33.8M,1318
1.212,1,3386,5.1M,2793,33.4M,1494
3.520,1,7646,11.4M,2172,26.0M,1497
4.544,1,8611,12.9M,1895,22.7M,1497
14.949,1,27991,42.0M,1872,22.5M,1499
0.489,1,7688,11.5M,15721,188.6M,1499
1.580,1,4487,233756,2839,1.2M,52
0.705,1,4203,5.9M,5961,67.4M,1413
0.116,1,1104,1.7M,9517,113.9M,1496
0.585,1,1136,1.7M,1941,23.1M,1487
0.289,1,2745,3.9M,9498,107.4M,1413
0.356,1,1476,2.2M,4146,49.6M,1494
0.102,1,1376,2.0M,13490,160.7M,1489
1.004,2,11897,9.3M,11849,74.2M,782
3.215,1,17207,25.8M,5352,64.2M,1499
0.308,1,1433,2.1M,4652,55.6M,1492
0.576,1,1494,2.2M,2593,30.9M,1488
2.155,1,5517,8.3M,2560,30.6M,1496
2.474,1,6192,9.3M,2502,30.0M,1496
0.613,1,2762,3.9M,4505,51.1M,1418
11.776,1,36287,20.9M,3081,14.2M,575
1.940,1,5709,8.5M,2942,35.2M,1496
1.768,1,3965,5.9M,2242,26.8M,1494
0.925,1,2029,2.9M,2193,24.8M,1415
0.953,1,1948,2.9M,2044,24.4M,1491
0.895,1,3587,5.4M,4007,47.9M,1493
0.895,1,3587,5.4M,4007,47.9M,1493
1.680,1,5915,8.9M,3520,42.2M,1497
1.600,1,5192,7.8M,3245,38.8M,1495
0.464,1,1417,2.0M,3053,35.0M,1433
0.576,1,1125,1.7M,1953,23.2M,1485
0.932,1,1804,2.7M,1935,23.1M,1491
0.440,1,2407,3.6M,5470,65.2M,1489
0.530,1,2715,4.1M,5122,61.2M,1493
1.088,1,5904,8.8M,5426,65.0M,1498
1.067,2,3114,4.7M,2918,34.9M,1493
0.836,1,4969,7.0M,5943,67.4M,1418
1.209,8,4072,5.8M,3368,38.1M,1412
1.789,2,11708,17.5M,6544,78.4M,1498
0.640,1,5293,7.5M,8270,93.2M,1408
2.128,1,9760,14.6M,4586,55.0M,1497
0.448,1,1442,75288,3218,1.3M,52
1.115,1,2025,3.0M,1816,21.7M,1490
0.629,1,2684,4.0M,4267,50.9M,1491
1.117,1,2845,4.1M,2547,29.2M,1433
1.296,1,2681,4.0M,2068,24.7M,1493
0.946,1,2833,4.0M,2994,33.9M,1415
0.970,1,2836,4.0M,2923,33.1M,1414
1.197,1,2689,4.0M,2246,26.8M,1489
4.034,2,6568,9.8M,1628,19.5M,1493
